Client ID,Client Name,Team,Recency,Frequency,Monetary Value,Subscription Length,AVG Month,รายได้/เดือน,Sale Volume,Lost Type,Lost Reason Criteria,Sale Volume Count,New Sales,Recontract,Recontract (Delay),Upgrade,Upsell,Win Back,Cluster
CL0001,บริษัท เอเซอร์ คอมพิวเตอร์ จำกัด,Lunar,26,8,1566615.0,13,32,48956.71875,"Recontract, Recontract, Recontract, Recontract, Recontract, New Sales, Recontract, New Sales",,,8,2,6,0,0,0,0,1
CL0007,บริษัท สตาร์ รีชเชอร์ส กรุ๊ป จำกัด,Solar,2,12,955000.0,44,25,38200.0,"New Sales, Win Back, Recontract, Recontract, Win Back, Win Back, Upsell, Win Back, Win Back, Win Back, Recontract (Delay), Win Back",,,12,1,2,1,0,1,7,3
CL0016,บริษัท อินทิเกรเต็ด คอมมูนิเคชั่น จำกัด,Pegasus,5,1,90000.0,6,5,18000.0,New Sales,,,1,1,0,0,0,0,0,0
CL0017,บริษัททรู คอร์ปอเรชั่น จำกัด (มหาชน),Other,26,1,1440000.0,12,26,55384.61538461538,Recontract,,,1,0,1,0,0,0,0,1
CL0042,องค์การกระจายเสียงและแพร่ภาพสาธารณะแห่งประเทศไทย,Lunar,21,1,520000.0,6,21,24761.904761904763,Upsell,,,1,0,0,0,0,1,0,4
CL0107,บริษัท ดับบลิวพีพี (ประเทศไทย) จำกัด – มายด์แชร์,Solar,10,2,329000.0,21,24,13708.333333333334,"New Sales, New Sales",Onetime by CXM,Onetime,2,2,0,0,0,0,0,3
CL0110,บริษัท คัสต้อม เอเซีย จำกัด,Lunar,2,3,146728.97,33,16,9170.560625,"New Sales, New Sales, Win Back",Adhoc by Sales,Adhoc,3,2,0,0,0,0,1,3
CL0120,สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ (สสส.),Other,32,1,560747.66,7,32,17523.364375,Win Back,,,1,0,0,0,0,0,1,1
CL0127,บริษัท ออล อินเตอร์แอคทีฟ จำกัด,Lunar,23,4,245500.0,13,25,9820.0,"New Sales, Upsell, Win Back, Recontract (Delay)",,,4,1,0,1,0,1,1,1
CL0145,บริษัท อินเทจ (ประเทศไทย) จำกัด,Other,1,3,325000.0,14,6,54166.66666666666,"New Sales, New Sales, New Sales",,,3,3,0,0,0,0,0,0
CL0171,บริษัท เค อินโนเวชั่น จำกัด  ,Solar,14,4,714500.0,25,28,25517.85714285714,"Win Back, Recontract, Upsell, Recontract",,,4,0,2,0,0,1,1,3
CL0191,บริษัท ทรู อินเทอร์เน็ต คอร์ปอเรชั่น จำกัด (สำนักงานใหญ่),Solar,17,1,150000.0,2,17,8823.529411764706,Upsell,,,1,0,0,0,0,1,0,4
CL0196,บริษัท ฟู้ดแพชชั่น จำกัด,Pegasus,21,1,620000.0,12,24,25833.33333333333,New Sales,,,1,1,0,0,0,0,0,4
